Created Time,Site,Partner Domain,OriginCity,DestinationCity,JourneyType,Out Date,Return Date,Num Adt,Num Cnn,Num Inf,Cabin Classes,Total Stops,ID,MarketingCarriers,Sessions ID,ID,Num Orders
2025-09-09 10:38:37,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,"AM,NK",1582065289991,2495590348,0
2025-09-09 10:38:35,booking_co,booking,Mexico City,Denver,One-Way,2025-09-17,,1,0,0,Y,,2370,AA,1582124068947,2495508711,0
2025-09-09 10:38:31,booking_co,booking,Mexico City,Denver,One-Way,2025-09-17,,1,0,0,Y,,2370,AA,1582124068947,2495578517,0
2025-09-09 10:38:29,booking_co,booking,Mexico City,Denver,One-Way,2025-09-17,,1,0,0,Y,,2370,UA,1582124068947,2495468145,0
2025-09-09 10:38:29,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,"AM,NK",1582065289991,2495777035,0
2025-09-09 10:38:27,booking_co,booking,Mexico City,Denver,One-Way,2025-09-17,,1,0,0,Y,,2370,UA,1582124068947,2495705654,0
2025-09-09 10:38:25,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,"AM,NK",1582065289991,2495570227,0
2025-09-09 10:38:23,booking_co,booking,Mexico City,Denver,One-Way,2025-09-17,,1,0,0,Y,,2370,AA,1582124068947,2495666125,0
2025-09-09 10:38:23,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,"AM,NK",1582065289991,2495784016,0
2025-09-09 10:38:20,booking_co,booking,Mexico City,Denver,One-Way,2025-09-17,,1,0,0,Y,,2370,AM,1582124068947,2495411276,0
2025-09-09 10:38:17,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,2,2442,"AM,NK",1582065289991,2495759016,0
2025-09-09 10:38:16,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,"AM,NK",1582065289991,2495466374,0
2025-09-09 10:38:14,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,"AM,NK",1582065289991,2495789009,0
2025-09-09 10:38:13,booking_co,booking,Mexico City,Denver,One-Way,2025-09-17,,1,0,0,Y,,2370,Y4,1582124068947,2495498300,0
2025-09-09 10:38:13,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,UA,1582065289991,2495735088,0
2025-09-09 10:38:11,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,"AM,NK",1582065289991,2495425533,0
2025-09-09 10:38:10,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,"AM,NK",1582065289991,2495261885,0
2025-09-09 10:38:08,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,UA,1582065289991,2495723241,0
